Keyword_ID,key,topic,Topic_ID
36588,Approaches,ArtificialIntelligence,0
36589,Support,Humanities,40
36590,Relational,Economics,49
36591,Systems,GenomeEditing,10
36592,Subexpression,TissueEngineering,23
36593,Identification,WirelessCommunication,27
36594,Capabilities,CancerBiology,29
36595,Languages,GenomeEditing,10
36596,Distributed,Modeling,28
36597,Object,StemCells,6
36598,Sublanguages,DrugDiscovery,14
36599,Completeness,Psychology,17
36600,Data,GameTheory,30
36601,Model,ClimateChange,1
36602,Normalization,Bioinformatics,2
36603,Calculus,BiomedicalImaging,18
36604,Base,Neuroscience,9
36605,Sublanguage,Virology,41
36606,Derivability,WirelessCommunication,27
36607,Redundancy,Immunology,46
36608,Banks,Genetics,35
36609,Structure,Humanities,40
36610,Tutorial,GameTheory,30
36611,Analysis,QuantumComputing,5
36612,indices,WirelessCommunication,27
36613,projected,Psychology,17
36614,SOM,RenewableEnergy,7
36615,Catchment,Transportation,43
36616,maps,QuantumPhysics,34
36617,Programming,RenewableEnergy,7
36618,WWW,SocialNetworks,11
36619,Bibliography,StemCells,6
36620,error,Immunology,46
36621,duplicate,Genetics,35
36622,deleted,3DPrinting,21
36623,entry,Ecology,36
36624,paper,UrbanPlanning,16
36625,retracted,TissueEngineering,23
36626,withdrawn,Modeling,28
36627,published,ArtificialIntelligence,0
36628,Kleinberg,Economics,49
36629,Jon,Addiction,33
36630,Ritchie,Genetics,35
36631,Dennis,AugmentedReality,25
36632,Shor,SocialNetworks,11
36633,Peter,Economics,49
36634,Sudan,DataScience,47
36635,Madhu,Addiction,33
36636,Theory,Human-ComputerInteraction,15
36637,Information,Wearables,32
36638,Topics,CancerBiology,29
36639,Security,Behavior,44
36640,Theoretic,Cryptocurrencies,24
36641,Testing,Bioinformatics,2
36642,Criteria,Human-ComputerInteraction,15
36643,Perspective,Addiction,33
36644,Biometric,Astrophysics,42
36645,Channels,GenomeEditing,10
36646,View,SpaceExploration,12
36647,Interference,QuantumPhysics,34
36648,Communications,Pollution,31
36649,Wireless,QuantumPhysics,34
36650,Algebras,Human-ComputerInteraction,15
36651,Coding,DrugDiscovery,14
36652,Division,SpaceExploration,12
36653,Matrices,Atmosphere,38
36654,Asymptotic,RenewableEnergy,7
36655,Applications,RenewableEnergy,7
36656,Modulation,Addiction,33
36657,Coded,AugmentedReality,25
36658,Bit-Interleaved,Virology,41
36659,Functions,Oceanography,22
36660,Number,WirelessCommunication,27
