PRESENTED_AT_ID,Paper_ID,Edition_ID
34973,11670,36394
34974,11671,36395
34975,11672,36396
34976,11673,36397
34977,11674,36398
34978,11675,36399
34979,11676,36400
34980,11677,36396
34981,11678,36395
34982,11679,36395
34983,11680,36398
34984,11681,36401
34985,11682,36402
34986,11683,36396
34987,11684,36399
34988,11685,36402
34989,11686,36399
34990,11687,36400
34991,11688,36399
34992,11689,36396
34993,11690,36403
34994,11691,36401
34995,11692,36396
34996,11693,36402
34997,11694,36401
34998,11695,36401
34999,11696,36399
35000,11697,36402
35001,11698,36399
35002,11699,36395
35003,11700,36402
35004,11701,36399
35005,11702,36404
35006,11703,36394
35007,11704,36397
35008,11705,36398
35009,11706,36402
35010,11707,36399
35011,11708,36400
35012,11709,36396
35013,11710,36398
35014,11711,36402
35015,11712,36402
35016,11713,36394
35017,11714,36395
35018,11715,36397
35019,11716,36399
35020,11717,36399
35021,11718,36396
35022,11719,36396
35023,11720,36400
35024,11721,36402
35025,11722,36396
35026,11723,36396
35027,11724,36396
35028,11725,36403
35029,11726,36394
35030,11727,36399
35031,11728,36401
35032,11729,36404
35033,11730,36402
35034,11731,36394
35035,11732,36398
35036,11733,36404
35037,11734,36399
35038,11735,36401
35039,11736,36404
35040,11737,36404
35041,11738,36402
35042,11739,36403
35043,11740,36399
35044,11741,36396
35045,11742,36398
35046,11743,36402
35047,11744,36398
35048,11745,36403
35049,11746,36396
35050,11747,36398
35051,11748,36398
35052,11749,36396
35053,11750,36394
35054,11751,36399
35055,11752,36395
35056,11753,36402
35057,11754,36398
35058,11755,36402
35059,11756,36399
35060,11757,36402
35061,11758,36394
35062,11759,36402
35063,11760,36394
35064,11761,36402
35065,11762,36394
35066,11763,36399
35067,11764,36396
35068,11765,36404
35069,11766,36404
35070,11767,36402
35071,11768,36396
35072,11769,36402
35073,11770,36395
35074,11771,36399
35075,11772,36399
35076,11773,36402
35077,11774,36399
35078,11775,36394
35079,11776,36396
35080,11777,36395
35081,11778,36396
35082,11779,36403
35083,11780,36403
35084,11781,36394
35085,11782,36396
35086,11783,36399
35087,11784,36399
35088,11785,36397
35089,11786,36402
35090,11787,36394
35091,11788,36404
35092,11789,36395
35093,11790,36396
35094,11791,36396
35095,11792,36402
35096,11793,36394
35097,11794,36398
35098,11795,36399
35099,11796,36395
35100,11797,36394
35101,11798,36401
35102,11799,36404
35103,11800,36402
35104,11801,36399
35105,11802,36399
35106,11803,36396
35107,11804,36396
35108,11805,36398
35109,11806,36399
35110,11807,36394
35111,11808,36399
35112,11809,36398
35113,11810,36399
35114,11811,36398
35115,11812,36394
35116,11813,36402
35117,11814,36399
35118,11815,36396
35119,11816,36394
35120,11817,36404
35121,11818,36399
35122,11819,36403
35123,11820,36402
35124,11821,36396
35125,11822,36401
35126,11823,36403
35127,11824,36396
35128,11825,36398
35129,11826,36398
35130,11827,36402
35131,11828,36399
35132,11829,36398
35133,11830,36395
35134,11831,36399
35135,11832,36396
35136,11833,36401
35137,11834,36399
35138,11835,36394
35139,11836,36400
35140,11837,36399
35141,11838,36398
35142,11839,36394
35143,11840,36400
35144,11841,36398
35145,11842,36396
35146,11843,36396
35147,11844,36399
35148,11845,36395
35149,11846,36399
35150,11847,36402
35151,11848,36404
35152,11849,36402
35153,11850,36404
35154,11851,36402
35155,11852,36399
35156,11853,36394
35157,11854,36402
35158,11855,36400
35159,11856,36404
35160,11857,36403
35161,11858,36399
