IS_ABOUT_ID,Paper_ID,Keyword_ID
492565,6514,36588
492566,6514,36589
492567,6514,36590
492568,6515,36591
492569,6515,36592
492570,6515,36593
492571,6516,36591
492572,6516,36594
492573,6516,36590
492574,6517,36595
492575,6517,36596
492576,6517,36597
492577,6518,36598
492578,6518,36599
492579,6518,36600
492580,6519,36601
492581,6519,36602
492582,6519,36600
492583,6520,36603
492584,6520,36604
492585,6520,36605
492586,6521,36606
492587,6521,36607
492588,6521,36608
492589,6522,36609
492590,6522,36610
492591,6522,36600
492592,6523,36611
492593,6523,36612
492594,6523,36613
492595,6524,36614
492596,6524,36615
492597,6524,36616
492598,6525,36617
492599,6525,36618
492600,6525,36619
492601,6526,36620
492602,6527,36621
492603,6527,36622
492604,6527,36623
492605,6528,36624
492606,6528,36625
492607,6529,36624
492608,6529,36626
492609,6530,36627
492610,6532,36628
492611,6532,36629
492612,6533,36630
492613,6533,36631
492614,6534,36632
492615,6534,36633
492616,6535,36634
492617,6535,36635
492618,6536,36636
492619,6536,36637
492620,6536,36638
492621,6537,36639
492622,6537,36640
492623,6537,36637
492624,6538,36641
492625,6538,36642
492626,6538,36637
492627,6539,36643
492628,6539,36639
492629,6539,36644
492630,6540,36645
492631,6540,36646
492632,6540,36647
492633,6541,36648
492634,6541,36636
492635,6541,36649
492636,6542,36650
492637,6542,36651
492638,6542,36652
492639,6543,36653
492640,6543,36654
492641,6543,36655
492642,6544,36656
492643,6544,36657
492644,6544,36658
492645,6545,36648
492646,6545,36659
492647,6545,36649
492648,6546,36645
492649,6546,36660
492650,6546,36636
492651,6547,36661
492652,6547,36662
492653,6547,36637
492654,6548,36663
492655,6548,36664
492656,6548,36665
492657,6549,36636
492658,6549,36666
492659,6549,36637
492660,6550,36648
492661,6550,36636
492662,6550,36651
492663,6551,36591
492664,6551,36667
492665,6551,36668
492666,6552,36591
492667,6552,36646
492668,6552,36649
492669,6553,36663
492670,6553,36669
492671,6554,36636
492672,6554,36670
492673,6554,36671
492674,6555,36672
492675,6555,36673
492676,6555,36637
492677,6556,36674
492678,6556,36637
492679,6557,36675
492680,6557,36676
492681,6557,36677
492682,6558,36678
492683,6558,36679
492684,6558,36680
492685,6559,36681
492686,6559,36636
492687,6559,36682
492688,6560,36683
492689,6560,36684
492690,6560,36685
492691,6561,36648
492692,6561,36686
492693,6561,36636
492694,6562,36687
492695,6562,36688
492696,6562,36683
492697,6563,36637
492698,6563,36651
492699,6563,36689
492700,6564,36690
492701,6564,36691
492702,6564,36692
492703,6565,36653
492704,6565,36693
492705,6565,36694
492706,6566,36695
492707,6566,36610
492708,6566,36636
492709,6567,36591
492710,6567,36617
492711,6567,36696
492712,6568,36636
492713,6568,36670
492714,6568,36697
492715,6569,36591
492716,6569,36684
492717,6569,36685
492718,6570,36698
492719,6570,36610
492720,6570,36611
492721,6571,36663
492722,6571,36699
492723,6571,36700
492724,6572,36701
492725,6572,36702
492726,6572,36703
492727,6573,36704
492728,6573,36705
492729,6573,36706
492730,6574,36707
492731,6574,36708
492732,6574,36709
492733,6575,36710
492734,6575,36711
492735,6575,36712
492736,6576,36713
492737,6576,36714
492738,6576,36715
492739,6577,36716
492740,6577,36717
492741,6578,36718
492742,6579,36719
492743,6579,36720
492744,6580,36721
492745,6580,36722
