Keyword_ID,key,topic,Topic_ID
36588,computer architecture,Cybersecurity,5
36589,critical thinking skills,Internet of Things,9
36590,semantic web,Cybersecurity,5
36591,recommender systems,Computer Science,2
36592,deep learning,Computer Science,2
36593,mass surveillance,Cloud Computing,8
36594,data management,Cybersecurity,5
36595,edge computing,Cybersecurity,5
36596,edge computing,Data Science,4
36597,media literacy education,Cybersecurity,5
36598,social engineering,Quantum Computing,10
36599,critical thinking skills,Internet of Things,9
36600,end-to-end encryption,Cybersecurity,5
36601,computer,Database,0
36602,semantic web,Cybersecurity,5
36603,end-to-end encryption,Artificial Intelligence,1
36604,computer science,Internet of Things,9
36605,bias,Ethics,3
36606,sentiment analysis,Computer Science,2
36607,deepfake technology,Computer Science,2
36608,adversarial examples,Database,0
36609,data breaches,Database,0
36610,data querying,Computer Science,2
36611,processor design,Quantum Computing,10
36612,mass surveillance,Ethics,3
36613,algorithm analysis,Data Science,4
36614,neural networks,Ethics,3
36615,processor design,Computer Science,2
36616,data management,Ethics,3
36617,parallel computing,Internet of Things,9
36618,edge computing,Machine Learning,6
36619,threat intelligence,Artificial Intelligence,1
36620,threat intelligence,Computer Science,2
36621,natural language processing,Cloud Computing,8
36622,web search engines,Cloud Computing,8
36623,edge computing,Ethics,3
36624,data management,Database,0
36625,zero-knowledge proofs,Data Science,4
36626,artificial intelligence,Ethics,3
36627,biometrics,Internet of Things,9
36628,automata theory,Ethics,3
36629,data storage,Internet of Things,9
36630,end-to-end encryption,Ethics,3
36631,bias,Data Science,4
36632,explainable AI,Ethics,3
36633,data modeling,Computer Science,2
36634,web search engines,Cloud Computing,8
36635,deep learning,Data Science,4
36636,fault tolerance,Ethics,3
36637,computational linguistics,Blockchain,7
36638,speech recognition,Cybersecurity,5
36639,web search engines,Data Science,4
36640,algorithmic fairness,Cybersecurity,5
36641,deep learning,Quantum Computing,10
36642,identity management,Database,0
36643,cloud computing,Blockchain,7
36644,authentication,Internet of Things,9
36645,quantum computing,Computer Science,2
36646,media literacy education,Internet of Things,9
36647,robustness,Artificial Intelligence,1
36648,formal languages,Blockchain,7
36649,semi-supervised learning,Database,0
36650,surveillance regulation,Machine Learning,6
36651,surveillance regulation,Computer Science,2
36652,user privacy,Blockchain,7
36653,web search engines,Cybersecurity,5
36654,distributed computing,Computer Science,2
36655,media literacy,Database,0
36656,algorithms,Artificial Intelligence,1
36657,data breaches,Cloud Computing,8
36658,semi-supervised learning,Quantum Computing,10
36659,data integration,Cybersecurity,5
36660,surveillance,Database,0
36661,reinforcement learning,Internet of Things,9
36662,semantic web,Cybersecurity,5
36663,rumor control,Computer Science,2
36664,privacy,Quantum Computing,10
36665,media literacy,Data Science,4
36666,cybersecurity,Cybersecurity,5
36667,machine learning,Computer Science,2
36668,computer science,Artificial Intelligence,1
36669,adversarial examples,Data Science,4
36670,end-to-end encryption,Blockchain,7
36671,scalability,Machine Learning,6
36672,surveillance,Cloud Computing,8
36673,data breaches,Cloud Computing,8
36674,data querying,Computer Science,2
36675,bias,Artificial Intelligence,1
36676,big data,Machine Learning,6
36677,data mining,Machine Learning,6
36678,distributed computing,Blockchain,7
36679,Internet of Things (IoT),Internet of Things,9
36680,interconnection networks,Database,0
36681,indexing,Machine Learning,6
36682,recommender systems,Quantum Computing,10
36683,cybersecurity,Data Science,4
36684,cybersecurity,Ethics,3
36685,data quality,Data Science,4
36686,blockchain technology,Computer Science,2
36687,privacy,Database,0
36688,biometrics,Quantum Computing,10
36689,cybersecurity,Data Science,4
36690,knowledge graphs,Computer Science,2
36691,bias mitigation,Data Science,4
36692,surveillance,Quantum Computing,10
36693,surveillance,Blockchain,7
36694,data governance,Data Science,4
36695,information hygiene,Ethics,3
36696,media literacy,Ethics,3
36697,theory of computation,Cybersecurity,5
36698,identity management,Quantum Computing,10
36699,semantic web,Computer Science,2
36700,authentication,Data Science,4
36701,instruction set architecture,Blockchain,7
36702,content moderation,Database,0
36703,computational complexity,Internet of Things,9
36704,data analysis,Machine Learning,6
36705,threat intelligence,Data Science,4
36706,transfer learning,Database,0
36707,online reputation management,Machine Learning,6
36708,parallel computing,Blockchain,7
36709,Internet of Things (IoT),Blockchain,7
36710,data mining,Blockchain,7
36711,algorithm analysis,Computer Science,2
36712,data storage,Cybersecurity,5
36713,authentication,Quantum Computing,10
36714,data warehousing,Internet of Things,9
36715,data breaches,Cybersecurity,5
36716,pattern recognition,Cybersecurity,5
36717,secure multiparty computation,Data Science,4
36718,fault tolerance,Cloud Computing,8
36719,data processing,Internet of Things,9
36720,computational linguistics,Machine Learning,6
36721,robustness,Cybersecurity,5
36722,digital forensics,Internet of Things,9
36723,cloud architecture,Computer Science,2
36724,homomorphic encryption,Computer Science,2
36725,artificial intelligence,Data Science,4
36726,embedded systems,Cloud Computing,8
36727,deepfake technology,Machine Learning,6
36728,transfer learning,Data Science,4
36729,disinformation,Quantum Computing,10
36730,misinformation,Machine Learning,6
36731,secure multiparty computation,Blockchain,7
36732,privacy regulations,Machine Learning,6
36733,disinformation,Computer Science,2
36734,algorithms,Machine Learning,6
36735,data processing,Computer Science,2
36736,speech recognition,Artificial Intelligence,1
36737,interconnection networks,Cloud Computing,8
36738,data modeling,Computer Science,2
36739,data quality,Ethics,3
36740,homomorphic encryption,Blockchain,7
36741,data quality,Blockchain,7
36742,artificial intelligence,Cloud Computing,8
36743,computer architecture,Ethics,3
36744,authentication,Computer Science,2
36745,authorization,Ethics,3
36746,automata theory,Quantum Computing,10
36747,surveillance capitalism,Cybersecurity,5
36748,data integration,Internet of Things,9
36749,generative adversarial networks (GANs),Cloud Computing,8
36750,deep learning,Internet of Things,9
36751,instruction set architecture,Machine Learning,6
36752,formal languages,Internet of Things,9
36753,text classification,Artificial Intelligence,1
36754,zero-knowledge proofs,Blockchain,7
36755,formal languages,Internet of Things,9
36756,semantic web,Artificial Intelligence,1
36757,surveillance regulation,Database,0
36758,data anonymization,Quantum Computing,10
36759,machine learning,Blockchain,7
36760,semantic web,Artificial Intelligence,1
36761,disinformation,Computer Science,2
36762,embedded systems,Cybersecurity,5
36763,robustness,Database,0
36764,end-to-end encryption,Artificial Intelligence,1
36765,user privacy,Cybersecurity,5
36766,data integration,Cloud Computing,8
36767,speech recognition,Artificial Intelligence,1
36768,interconnection networks,Computer Science,2
36769,data processing,Quantum Computing,10
36770,media literacy education,Machine Learning,6
36771,formal languages,Machine Learning,6
36772,artificial intelligence,Computer Science,2
36773,web search engines,Artificial Intelligence,1
36774,distributed computing,Data Science,4
36775,computer architecture,Blockchain,7
36776,biometrics,Database,0
36777,security,Database,0
36778,speech recognition,Ethics,3
36779,data ethics,Blockchain,7
36780,cybersecurity,Cloud Computing,8
36781,user privacy,Blockchain,7
36782,artificial intelligence,Computer Science,2
36783,deep learning,Database,0
36784,unsupervised learning,Internet of Things,9
36785,dialogue systems,Internet of Things,9
36786,sentiment analysis,Cybersecurity,5
36787,data management,Machine Learning,6
36788,data management,Ethics,3
36789,data management,Artificial Intelligence,1
36790,ethical hacking,Ethics,3
36791,phishing attacks,Database,0
36792,data mining,Blockchain,7
36793,pattern recognition,Machine Learning,6
36794,computational linguistics,Cloud Computing,8
36795,mixed reality (MR),Quantum Computing,10
36796,surveillance,Artificial Intelligence,1
36797,human-computer interaction,Artificial Intelligence,1
36798,data visualization,Machine Learning,6
36799,computer science,Cloud Computing,8
36800,security,Cloud Computing,8
36801,authorization,Cybersecurity,5
36802,social engineering,Quantum Computing,10
36803,data breaches,Internet of Things,9
36804,fault tolerance,Quantum Computing,10
36805,data management,Database,0
36806,data warehousing,Blockchain,7
36807,computer architecture,Data Science,4
36808,computational linguistics,Blockchain,7
36809,scalability,Cloud Computing,8
36810,homomorphic encryption,Database,0
36811,data quality,Blockchain,7
36812,counter-disinformation strategies,Cloud Computing,8
36813,speech recognition,Quantum Computing,10
36814,secure multiparty computation,Machine Learning,6
36815,algorithmic fairness,Cloud Computing,8
36816,fake news detection,Data Science,4
36817,media literacy education,Cybersecurity,5
36818,user privacy,Machine Learning,6
