Paper_ID,title,author,id,corresponding_author,Author_ID,abstract
6514,Interactive Support for Non-Programmers: The Relational and Network Approaches.,C. J. Date|E. F. Codd,r2,C. J. Date,16588,The research introduces...
6515,Common Subexpression Identification in General Algebraic Systems.,Patrick A. V. Hall,3,Patrick A. V. Hall,16590,The paper highlights...
6516,The Capabilities of Relational Database Management Systems.,E. F. Codd,4,E. F. Codd,16589,The paper discusses...
6517,Principles of Distributed Object Database Languages.,Markus Tresch,5,Markus Tresch,16591,The study proposes...
6518,Relational Completeness of Data Base Sublanguages.,E. F. Codd,6,E. F. Codd,16589,The research evaluates...
6519,Further Normalization of the Data Base Relational Model.,E. F. Codd,7,E. F. Codd,16589,The paper examines...
6520,Data Base Sublanguage Founded on the Relational Calculus.,E. F. Codd,8,E. F. Codd,16589,The study analyzes...
6521,"Derivability, Redundancy and Consistency of Relations Stored in Large Data Banks.",E. F. Codd,9,E. F. Codd,16589,The study illustrates...
6522,Normalized Data Base Structure: A Brief Tutorial.,E. F. Codd,10,E. F. Codd,16589,The research introduces...
6523,Analysis of projected hydrological behavior of catchments based on signature indices,Andreas Rock|Gayane Grigoryan|Günther Heinemann|Markus Casper|Oliver Gronz|Oliver Gutjahr|Rita Ley,12,Andreas Rock,16592,This paper demonstrates...
6524,Catchment classification by runoff behaviour with self-organizing maps (SOM),Hugo Hellebrand|Markus Casper|Ralf Merz|Rita Ley,14,Hugo Hellebrand,16599,The research reveals...
6525,DB&LP: A WWW Bibliography on Databases and Logic Programming,Michael Ley,16,Michael Ley,16601,The paper examines...
6536,Topics in Multi-User Information Theory.,Gerhard Kramer,16891,Gerhard Kramer,16602,The paper examines...
6537,Information Theoretic Security.,H. Vincent Poor|Shlomo Shamai|Yingbin Liang,16892,H. Vincent Poor,16603,This paper demonstrates...
6538,Reliability Criteria in Information Theory and in Statistical Hypothesis Testing.,Ashot N. Harutyunyan|Evgueni A. Haroutunian|Mariam E. Haroutunian,16893,Ashot N. Harutyunyan,16606,This study investigates...
6539,Biometric Security from an Information-Theoretical Perspective.,Frans M. J. Willems|Tanya Ignatenko,16894,Frans M. J. Willems,16609,This paper addresses...
6540,Gaussian Interference Channels: An Information Theoretic Point of View.,Biao Chen|Xiaohu Shang,16895,Biao Chen,16611,This paper is about...
6541,Random-Set Theory and Wireless Communications.,Emanuele Grossi|Ezio Biglieri|Marco Lops,16896,Emanuele Grossi,16613,This study investigates...
6542,Cyclic Division Algebras: A Tool for Space-Time Coding.,Emanuele Viterbo|Frédérique E. Oggier|Jean-Claude Belfiore,16897,Emanuele Viterbo,16616,The research reveals...
6543,Block Toeplitz Matrices: Asymptotic Results and Applications.,Jesús Gutiérrez-Gutiérrez|Pedro M. Crespo,16898,Jesús Gutiérrez-Gutiérrez,16619,This study investigates...
6544,Bit-Interleaved Coded Modulation.,Albert Guillen i Fabregas|Giuseppe Caire,16899,Albert Guillen i Fabregas,16621,This study investigates...
6545,Majorization and Matrix-Monotone Functions in Wireless Communications.,Eduard A. Jorswieck|Holger Boche,16900,Eduard A. Jorswieck,16623,The study analyzes...
6546,Algebraic Number Theory and Code Design for Rayleigh Fading Channels.,Emanuele Viterbo|Frédérique E. Oggier,16901,Emanuele Viterbo,16616,The research aims to explore...
6547,Universal Estimation of Information Measures for Analog Sources.,Qing Wang|Sanjeev R. Kulkarni|Sergio Verdú,16902,Qing Wang,16625,This study investigates...
6548,Polarization and Polar Codes.,Eren Sasoglu,16903,Eren Sasoglu,16628,The paper discusses...
6549,Statistical Physics and Information Theory.,Neri Merhav,16904,Neri Merhav,16629,This paper addresses...
6550,"Concentration of Measure Inequalities in Information Theory, Communications, and Coding.",Igal Sason|Maxim Raginsky,16905,Igal Sason,16630,The paper compares...
6551,Coding Techniques for Repairability in Networked Distributed Storage Systems.,Anwitaman Datta|Frédérique E. Oggier,16906,Anwitaman Datta,16632,The study analyzes...
6552,Cooperative Wireless Cellular Systems: An Information-Theoretic View.,Amichai Sanderovich|Benjamin M. Zaidel|H. Vincent Poor|Nathan Levy|Oren Somekh|Osvaldo Simeone|Shlomo Shamai,16907,Amichai Sanderovich,16633,The study illustrates...
