"AFFILIATED_ID","Author_ID","Company_ID"
"526543","21042","1"
"571756","36255","1"
"571565","36064","1"
"571407","35906","1"
"571398","35897","1"
"571281","35780","1"
"571222","35721","1"
"571207","35706","1"
"570933","35432","1"
"570754","35253","1"
"570742","35241","1"
"570739","35238","1"
"570738","35237","1"
"570674","35173","1"
"570591","35090","1"
"570550","35049","1"
"570464","34963","1"
"570463","34962","1"
"570387","34886","1"
"570339","34838","1"
"570177","34676","1"
"570148","34647","1"
"570141","34640","1"
"570056","34555","1"
"569980","34479","1"
"569972","34471","1"
"569891","34390","1"
"569688","34187","1"
"569419","33918","1"
"569216","33715","1"
"569124","33623","1"
"569107","33606","1"
"568867","33366","1"
"568559","33058","1"
"568488","32987","1"
"568400","32899","1"
"568384","32883","1"
"568275","32774","1"
"567989","32488","1"
"567915","32414","1"
"567824","32323","1"
"567805","32304","1"
"567573","32072","1"
"567541","32040","1"
"567512","32011","1"
"567418","31917","1"
"567401","31900","1"
"567361","31860","1"
"567335","31834","1"
"567200","31699","1"
"566807","31306","1"
"566796","31295","1"
"566773","31272","1"
"566697","31196","1"
"566602","31101","1"
"566399","30898","1"
"566348","30847","1"
"566337","30836","1"
"566332","30831","1"
"566219","30718","1"
"566204","30703","1"
"566162","30661","1"
"566122","30621","1"
"565947","30446","1"
"565725","30224","1"
"565622","30121","1"
"565401","29900","1"
"565400","29899","1"
"565306","29805","1"
"565120","29619","1"
"565015","29514","1"
"564951","29450","1"
"564848","29347","1"
"564825","29324","1"
"564614","29113","1"
"564491","28990","1"
"564389","28888","1"
"564256","28755","1"
"564195","28694","1"
"564018","28517","1"
"563941","28440","1"
"563918","28417","1"
"563884","28383","1"
"563741","28240","1"
"563412","27911","1"
"563410","27909","1"
"563401","27900","1"
"563208","27707","1"
"563206","27705","1"
"563103","27602","1"
"562875","27374","1"
"562840","27339","1"
"562767","27266","1"
"562741","27240","1"
"562678","27177","1"
"562606","27105","1"
"562571","27070","1"
"562494","26993","1"
"562477","26976","1"
"562460","26959","1"
"562333","26832","1"
"562190","26689","1"
"562020","26519","1"
"562009","26508","1"
"561925","26424","1"
"561902","26401","1"
"561546","26045","1"
"561514","26013","1"
"561432","25931","1"
"561236","25735","1"
"561075","25574","1"
"560995","25494","1"
"560979","25478","1"
"560977","25476","1"
"560858","25357","1"
"560793","25292","1"
"560766","25265","1"
"560631","25130","1"
"560469","24968","1"
"560222","24721","1"
"560036","24535","1"
"560004","24503","1"
"559856","24355","1"
"559789","24288","1"
"559751","24250","1"
"559657","24156","1"
"559643","24142","1"
"559484","23983","1"
"559457","23956","1"
"559452","23951","1"
"559447","23946","1"
"559338","23837","1"
"559227","23726","1"
"558912","23411","1"
"558847","23346","1"
"558846","23345","1"
"558592","23091","1"
"558412","22911","1"
"558125","22624","1"
"558112","22611","1"
"557998","22497","1"
"557895","22394","1"
"527719","22218","1"
"527672","22171","1"
"527565","22064","1"
"527469","21968","1"
"526711","21210","1"
"522090","16589","1"
"522109","16608","1"
"522361","16860","1"
"522432","16931","1"
"522470","16969","1"
"522582","17081","1"
"522751","17250","1"
"522909","17408","1"
"523017","17516","1"
"523090","17589","1"
"523103","17602","1"
"523179","17678","1"
"523182","17681","1"
"523269","17768","1"
"523339","17838","1"
"523368","17867","1"
"523635","18134","1"
"523710","18209","1"
"523832","18331","1"
"523869","18368","1"
"524010","18509","1"
"524124","18623","1"
"524163","18662","1"
"524182","18681","1"
"524227","18726","1"
"524266","18765","1"
"524489","18988","1"
"524491","18990","1"
"524510","19009","1"
"524609","19108","1"
"524687","19186","1"
"524688","19187","1"
"524889","19388","1"
"524945","19444","1"
"524972","19471","1"
"525170","19669","1"
"525275","19774","1"
"525281","19780","1"
"525315","19814","1"
"525330","19829","1"
"525581","20080","1"
"525597","20096","1"
"525696","20195","1"
"525840","20339","1"
"525950","20449","1"
"526119","20618","1"
"526148","20647","1"
"526254","20753","1"
"526332","20831","1"
"526401","20900","1"
"526520","21019","2"
"571888","36387","2"
"571842","36341","2"
"571746","36245","2"
"571745","36244","2"
"571647","36146","2"
"571572","36071","2"
"571542","36041","2"
"571356","35855","2"
"571326","35825","2"
"571263","35762","2"
"571192","35691","2"
"571113","35612","2"
"570996","35495","2"
"570854","35353","2"
"570729","35228","2"
"570609","35108","2"
"570510","35009","2"
"570466","34965","2"
"570430","34929","2"
"570377","34876","2"
"570345","34844","2"
"570139","34638","2"
"570099","34598","2"
"570088","34587","2"
"570072","34571","2"
"569956","34455","2"
"569691","34190","2"
"569674","34173","2"
"569634","34133","2"
"569325","33824","2"
"569283","33782","2"
"569205","33704","2"
"568863","33362","2"
"568859","33358","2"
"568839","33338","2"
"568821","33320","2"
"568775","33274","2"
"568345","32844","2"
"568328","32827","2"
"568033","32532","2"
"567871","32370","2"
"567770","32269","2"
"567572","32071","2"
"567494","31993","2"
"567474","31973","2"
"567242","31741","2"
"567141","31640","2"
"567140","31639","2"
"566984","31483","2"
"566915","31414","2"
"566827","31326","2"
"566716","31215","2"
"566553","31052","2"
"566212","30711","2"
"566136","30635","2"
"565368","29867","2"
"565352","29851","2"
"564979","29478","2"
"564855","29354","2"
"564804","29303","2"
"564756","29255","2"
"564593","29092","2"
"564581","29080","2"
"564548","29047","2"
"564411","28910","2"
"564371","28870","2"
"564336","28835","2"
"564225","28724","2"
"564139","28638","2"
"564136","28635","2"
"564112","28611","2"
"563824","28323","2"
"563728","28227","2"
"563323","27822","2"
"563273","27772","2"
"563221","27720","2"
"563202","27701","2"
"563143","27642","2"
"563138","27637","2"
"563106","27605","2"
"563075","27574","2"
"562929","27428","2"
"562916","27415","2"
"562634","27133","2"
"562467","26966","2"
"562401","26900","2"
"562392","26891","2"
"562288","26787","2"
"562199","26698","2"
"562164","26663","2"
"561946","26445","2"
"561939","26438","2"
"561907","26406","2"
"561672","26171","2"
"561663","26162","2"
"561418","25917","2"
"561132","25631","2"
"561059","25558","2"
"560960","25459","2"
"560942","25441","2"
"560896","25395","2"
"560849","25348","2"
"560691","25190","2"
"560647","25146","2"
"560643","25142","2"
"560516","25015","2"
"560508","25007","2"
"560482","24981","2"
"560455","24954","2"
"560454","24953","2"
"560179","24678","2"
"559908","24407","2"
"559848","24347","2"
"559693","24192","2"
"559555","24054","2"
"559450","23949","2"
"559433","23932","2"
"559403","23902","2"
"559323","23822","2"
"559259","23758","2"
"559155","23654","2"
"559057","23556","2"
"559001","23500","2"
"558988","23487","2"
"558958","23457","2"
"558918","23417","2"
"558805","23304","2"
"558785","23284","2"
"558420","22919","2"
"558154","22653","2"
"558100","22599","2"
"557944","22443","2"
"527798","22297","2"
"527762","22261","2"
"527698","22197","2"
"527669","22168","2"
"527636","22135","2"
"527614","22113","2"
"527534","22033","2"
"527510","22009","2"
"527235","21734","2"
"527215","21714","2"
"527144","21643","2"
"526747","21246","2"
"526728","21227","2"
"526675","21174","2"
"526531","21030","2"
"522091","16590","2"
"522226","16725","2"
"522270","16769","2"
"522393","16892","2"
"522396","16895","2"
"522530","17029","2"
"522629","17128","2"
"522832","17331","2"
"522922","17421","2"
"523262","17761","2"
"523478","17977","2"
"523593","18092","2"
"523649","18148","2"
"523662","18161","2"
"523780","18279","2"
"523854","18353","2"
"523891","18390","2"
"523900","18399","2"
"524045","18544","2"
"524050","18549","2"
"524193","18692","2"
"524220","18719","2"
"524245","18744","2"
"524423","18922","2"
"524559","19058","2"
"524708","19207","2"
"524775","19274","2"
"524781","19280","2"
"524829","19328","2"
"525027","19526","2"
"525253","19752","2"
"525280","19779","2"
"525311","19810","2"
"525535","20034","2"
"525585","20084","2"
"525713","20212","2"
"525765","20264","2"
"525778","20277","2"
"525914","20413","2"
"525963","20462","2"
"525986","20485","2"
"526010","20509","2"
"526050","20549","2"
"526079","20578","2"
"526091","20590","2"
"526130","20629","2"
"526144","20643","2"
"526252","20751","2"
"526325","20824","2"
"526371","20870","2"
"527548","22047","3"
"571853","36352","3"
"571830","36329","3"
"571820","36319","3"
"571806","36305","3"
"571804","36303","3"
"571774","36273","3"
"571570","36069","3"
"571562","36061","3"
"571255","35754","3"
"571120","35619","3"
"570902","35401","3"
"570760","35259","3"
"570672","35171","3"
"570518","35017","3"
"570178","34677","3"
"570175","34674","3"
"570131","34630","3"
"570120","34619","3"
"569607","34106","3"
"569606","34105","3"
"569403","33902","3"
"569319","33818","3"
"569276","33775","3"
"569162","33661","3"
"569002","33501","3"
"568970","33469","3"
"568784","33283","3"
"568337","32836","3"
"568289","32788","3"
"568208","32707","3"
"568135","32634","3"
"567637","32136","3"
"567588","32087","3"
"567570","32069","3"
"567519","32018","3"
"567411","31910","3"
"567341","31840","3"
"567194","31693","3"
"567139","31638","3"
"566975","31474","3"
"566920","31419","3"
"566848","31347","3"
"566562","31061","3"
"566379","30878","3"
"566354","30853","3"
"566201","30700","3"
"566142","30641","3"
"566124","30623","3"
"566070","30569","3"
"565979","30478","3"
"565926","30425","3"
"565831","30330","3"
"565806","30305","3"
"565775","30274","3"
"565551","30050","3"
"565470","29969","3"
"565272","29771","3"
"565236","29735","3"
"565227","29726","3"
"565165","29664","3"
"565154","29653","3"
"564970","29469","3"
"564933","29432","3"
"564910","29409","3"
"564850","29349","3"
"564751","29250","3"
"564630","29129","3"
"564619","29118","3"
"564441","28940","3"
"564400","28899","3"
"564350","28849","3"
"564337","28836","3"
"564098","28597","3"
"563992","28491","3"
"563984","28483","3"
"563936","28435","3"
"563847","28346","3"
"563844","28343","3"
"563836","28335","3"
"563772","28271","3"
"563726","28225","3"
"563639","28138","3"
"563624","28123","3"
"563590","28089","3"
"563497","27996","3"
"563376","27875","3"
"563335","27834","3"
"563331","27830","3"
"563187","27686","3"
"563150","27649","3"
"563117","27616","3"
"563032","27531","3"
"562950","27449","3"
"562921","27420","3"
"562878","27377","3"
"562820","27319","3"
"562778","27277","3"
"562693","27192","3"
"562659","27158","3"
"562577","27076","3"
"562474","26973","3"
"562335","26834","3"
"562250","26749","3"
"562178","26677","3"
"561929","26428","3"
"561799","26298","3"
"561731","26230","3"
"561660","26159","3"
"561638","26137","3"
"561572","26071","3"
"561491","25990","3"
"561486","25985","3"
"561365","25864","3"
"561327","25826","3"
"561322","25821","3"
"561264","25763","3"
"561065","25564","3"
"561044","25543","3"
"560986","25485","3"
"560658","25157","3"
"560609","25108","3"
"560573","25072","3"
