"Edition_ID","year","conference"
"36394","2011","ant"
"36395","2012","cser"
"36396","2011","iccS"
"36397","2012","vsgames"
"36398","2012","ant"
"36399","2010","iccS"
"36400","2012","complexsystems"
"36401","2011","complexsystems"
"36402","2012","iccS"
"36403","2012","dsai"
"36404","2013","cser"
"36411","2012","aistats"
"36412","2007","aistats"
"36413","2008coa","nips"
"36414","2011","colt"
"36415","2012","colt"
"36416","2008fsdm","pkdd"
"36417","2010fsdm","pakdd"
"36418","2011","acml"
"36419","2010w","aistats"
"36420","2010","aistats"
"36421","2009","aistats"
"36422","2011","aistats"
"36423","2011otee","icml"
"36424","2012","icgi"
"36425","2012","acml"
"36426","2010","wapa"
"36427","2011utl","icml"
"36428","2010","acml"
"36429","2010ltr","icml"
"36430","2009mscts","nips"
"36431","2008cpc","wcci"
"36432","2009kddcup","kdd"
"36433","2009","mlsb"
"36434","2011kddcup","kdd"
"36435","2011","wapa"
"36448","2014","sigsand"
"36449","2011","sigsand"
"36450","2013","sigsand"
"36451","2008","sigsand"
"36452","1989","wopplot"
"36453","1986","wopplot"
"36454","2011","aldt"
"36455","2013","aldt"
"36456","2009","aldt"
"36457","2007","ecrime"
"36458","2012","ecrime"
"36459","2011","ecrime"
"36460","2013","asiams"
"36461","2007","asiams"
"36462","2009","asiams"
"36463","2008","asiams"
"36464","2012","asiams"
"36470","2003","ACMicec"
"36471","2006","ACMicec"
"36472","2012","ACMicec"
"36473","2004","ACMicec"
"36474","2008","ACMicec"
"36475","2005","ACMicec"
"36476","2007","ACMicec"
"36477","2009","ACMicec"
"36478","2013lnbip","ACMicec"
"36479","2014","ACMicec"
