"PUBLISHED_IN_ID","Paper_ID","Volume_ID"
"69","6514","11519"
"70","6516","11520"
"71","6519","11521"
"72","6520","11522"
"73","6521","11523"
"74","6522","11524"
"75","6523","11525"
"76","6524","11526"
"77","6536","11527"
"78","6537","11528"
"79","6538","11527"
"80","6539","11529"
"81","6540","11530"
"82","6541","11529"
"83","6542","11527"
"84","6543","11531"
"85","6544","11532"
"86","6545","11533"
"87","6546","11534"
"88","6547","11528"
"89","6548","11531"
"90","6549","11535"
"91","6550","11530"
"92","6551","11536"
"93","6552","11531"
"94","6553","11537"
"95","6554","11538"
"96","6555","11539"
"97","6556","11533"
"98","6557","11534"
"99","6558","11540"
"100","6559","11533"
"101","6560","11538"
"102","6561","11534"
"103","6562","11541"
"104","6563","11527"
"105","6564","11542"
"106","6565","11538"
"107","6566","11534"
"108","6567","11538"
"109","6568","11538"
"110","6569","11536"
"111","6570","11533"
"112","6571","11543"
"113","6572","11544"
"114","6573","11545"
"115","6574","11546"
"116","6575","11547"
"117","6576","11548"
"118","6577","11549"
"119","6578","11548"
"120","6579","11550"
"121","6580","11546"
"122","6581","11551"
"123","6582","11552"
"124","6583","11553"
"125","6584","11550"
"126","6585","11554"
"127","6586","11547"
"128","6587","11555"
"129","6588","11547"
"130","6589","11556"
"131","6590","11557"
"132","6591","11549"
"133","6592","11558"
"134","6593","11557"
"135","6594","11551"
"136","6595","11547"
"137","6596","11551"
"138","6597","11550"
"139","6598","11554"
"140","6599","11559"
"141","6600","11545"
"142","6601","11560"
"143","6602","11559"
"144","6603","11547"
"145","6604","11557"
"146","6605","11553"
"147","6606","11545"
"148","6607","11557"
"149","6608","11561"
"150","6609","11559"
"151","6610","11559"
"152","6611","11550"
"153","6612","11550"
"154","6613","11556"
"155","6614","11552"
"156","6615","11545"
"157","6616","11561"
"158","6617","11547"
"159","6618","11550"
"160","6619","11562"
"161","6620","11549"
"162","6621","11557"
"163","6622","11544"
"164","6623","11563"
"165","6624","11544"
"166","6625","11559"
"167","6626","11550"
"168","6627","11557"
"169","6628","11551"
"170","6629","11555"
"171","6630","11556"
"172","6631","11545"
"173","6632","11557"
"174","6633","11544"
"175","6634","11550"
"176","6635","11564"
"177","6636","11557"
"178","6637","11559"
"179","6638","11545"
"180","6639","11559"
"181","6640","11565"
"182","6641","11557"
"183","6642","11544"
"184","6643","11565"
"185","6644","11566"
"186","6645","11567"
"187","6646","11564"
"188","6647","11565"
"189","6648","11550"
"190","6649","11554"
"191","6650","11556"
"192","6651","11557"
"193","6652","11556"
"194","6653","11556"
"195","6654","11555"
"196","6655","11546"
"197","6656","11547"
"198","6657","11555"
"199","6658","11557"
"200","6659","11548"
"201","6660","11556"
"202","6661","11568"
"203","6662","11547"
"204","6663","11561"
"205","6664","11550"
"206","6665","11553"
"207","6666","11555"
"208","6667","11559"
"209","6668","11553"
"210","6669","11566"
"211","6670","11546"
"212","6671","11554"
"213","6672","11556"
"214","6673","11550"
"215","6674","11547"
"216","6675","11550"
"217","6676","11554"
"218","6677","11558"
"219","6678","11560"
"220","6679","11563"
"221","6680","11566"
"222","6681","11557"
"223","6682","11557"
"224","6683","11548"
"225","6684","11568"
"226","6685","11547"
"227","6686","11556"
"228","6687","11559"
"229","6688","11554"
"230","6689","11552"
"231","6690","11554"
"232","6691","11550"
"233","6692","11563"
"234","6693","11550"
"235","6694","11558"
"236","6695","11554"
"237","6696","11551"
"238","6697","11557"
"239","6698","11559"
"240","6699","11568"
"241","6700","11561"
"242","6701","11551"
"243","6702","11547"
"244","6703","11551"
"245","6704","11557"
"246","6705","11554"
"247","6706","11567"
"248","6707","11548"
"249","6708","11559"
"250","6709","11567"
"251","6710","11549"
"252","6711","11560"
"253","6712","11551"
"254","6713","11551"
"255","6714","11559"
"256","6715","11563"
"257","6716","11544"
"258","6717","11560"
"259","6718","11562"
"260","6719","11569"
"261","6720","11557"
"262","6721","11564"
"263","6722","11554"
"264","6723","11557"
"265","6724","11556"
"266","6725","11556"
"267","6726","11554"
"268","6727","11559"
"269","6728","11549"
"270","6729","11558"
"271","6730","11568"
"272","6731","11547"
"273","6732","11557"
"274","6733","11558"
"275","6734","11552"
"276","6735","11553"
"277","6736","11548"
"278","6737","11554"
"279","6738","11557"
"280","6739","11558"
"281","6740","11549"
"282","6741","11548"
"283","6742","11547"
"284","6743","11568"
"285","6744","11548"
"286","6745","11547"
"287","6746","11559"
"288","6747","11562"
"289","6748","11544"
"290","6749","11566"
"291","6750","11568"
"292","6751","11547"
"293","6752","11547"
"294","6753","11558"
"295","6754","11551"
"296","6755","11544"
"297","6756","11565"
"298","6757","11547"
"299","6758","11563"
"300","6759","11558"
"301","6760","11551"
"302","6761","11556"
"303","6762","11547"
"304","6763","11546"
"305","6764","11561"
"306","6765","11557"
"307","6766","11569"
"308","6767","11551"
"309","6768","11557"
"310","6769","11556"
"311","6770","11556"
"312","6771","11563"
"313","6772","11556"
"314","6773","11565"
"315","6774","11555"
"316","6775","11566"
"317","6776","11550"
"318","6777","11567"
"319","6778","11559"
"320","6779","11554"
"321","6780","11558"
"322","6781","11560"
"323","6782","11558"
"324","6783","11557"
"325","6784","11550"
"326","6785","11563"
"327","6786","11563"
"328","6787","11559"
"329","6788","11548"
"330","6789","11556"
"331","6790","11551"
"332","6791","11569"
"333","6792","11558"
"334","6793","11558"
"335","6794","11559"
"336","6795","11556"
"337","6796","11567"
"338","6797","11551"
"339","6798","11549"
"340","6799","11545"
"341","6800","11550"
"342","6801","11559"
"343","6802","11559"
"344","6803","11546"
"345","6804","11556"
"346","6805","11544"
"347","6806","11556"
"348","6807","11553"
"349","6808","11548"
"350","6809","11544"
"351","6810","11556"
"352","6811","11551"
"353","6812","11551"
"354","6813","11568"
