"Paper_ID","title","author","id"
"6514","Interactive Support for Non-Programmers: The Relational and Network Approaches.","C. J. Date|E. F. Codd","r2"
"6515","Common Subexpression Identification in General Algebraic Systems.","Patrick A. V. Hall","3"
"6516","The Capabilities of Relational Database Management Systems.","E. F. Codd","4"
"6517","Principles of Distributed Object Database Languages.","Markus Tresch","5"
"6518","Relational Completeness of Data Base Sublanguages.","E. F. Codd","6"
"6519","Further Normalization of the Data Base Relational Model.","E. F. Codd","7"
"6520","Data Base Sublanguage Founded on the Relational Calculus.","E. F. Codd","8"
"6521","Derivability, Redundancy and Consistency of Relations Stored in Large Data Banks.","E. F. Codd","9"
"6522","Normalized Data Base Structure: A Brief Tutorial.","E. F. Codd","10"
"6523","Analysis of projected hydrological behavior of catchments based on signature indices","Andreas Rock|Gayane Grigoryan|Günther Heinemann|Markus Casper|Oliver Gronz|Oliver Gutjahr|Rita Ley","12"
"6524","Catchment classification by runoff behaviour with self-organizing maps (SOM)","Hugo Hellebrand|Markus Casper|Ralf Merz|Rita Ley","14"
"6525","DB&LP: A WWW Bibliography on Databases and Logic Programming","Michael Ley","16"
"6526","(error)","","17"
"6527","(duplicate entry was deleted)","","18"
"6528","(paper retracted)","","19"
"6529","(paper withdrawn)","","20"
"6530","(was never published)","","21"
"6531","…","","22"
"6532","Jon Kleinberg","","3670"
"6533","Dennis Ritchie","","3671"
"6534","Peter Shor","","3672"
"6535","Madhu Sudan","","3673"
"6536","Topics in Multi-User Information Theory.","Gerhard Kramer","16891"
"6537","Information Theoretic Security.","H. Vincent Poor|Shlomo Shamai|Yingbin Liang","16892"
"6538","Reliability Criteria in Information Theory and in Statistical Hypothesis Testing.","Ashot N. Harutyunyan|Evgueni A. Haroutunian|Mariam E. Haroutunian","16893"
"6539","Biometric Security from an Information-Theoretical Perspective.","Frans M. J. Willems|Tanya Ignatenko","16894"
"6540","Gaussian Interference Channels: An Information Theoretic Point of View.","Biao Chen|Xiaohu Shang","16895"
"6541","Random-Set Theory and Wireless Communications.","Emanuele Grossi|Ezio Biglieri|Marco Lops","16896"
"6542","Cyclic Division Algebras: A Tool for Space-Time Coding.","Emanuele Viterbo|Frédérique E. Oggier|Jean-Claude Belfiore","16897"
"6543","Block Toeplitz Matrices: Asymptotic Results and Applications.","Jesús Gutiérrez-Gutiérrez|Pedro M. Crespo","16898"
"6544","Bit-Interleaved Coded Modulation.","Albert Guillen i Fabregas|Giuseppe Caire","16899"
"6545","Majorization and Matrix-Monotone Functions in Wireless Communications.","Eduard A. Jorswieck|Holger Boche","16900"
"6546","Algebraic Number Theory and Code Design for Rayleigh Fading Channels.","Emanuele Viterbo|Frédérique E. Oggier","16901"
"6547","Universal Estimation of Information Measures for Analog Sources.","Qing Wang|Sanjeev R. Kulkarni|Sergio Verdú","16902"
"6548","Polarization and Polar Codes.","Eren Sasoglu","16903"
"6549","Statistical Physics and Information Theory.","Neri Merhav","16904"
"6550","Concentration of Measure Inequalities in Information Theory, Communications, and Coding.","Igal Sason|Maxim Raginsky","16905"
"6551","Coding Techniques for Repairability in Networked Distributed Storage Systems.","Anwitaman Datta|Frédérique E. Oggier","16906"
"6552","Cooperative Wireless Cellular Systems: An Information-Theoretic View.","Amichai Sanderovich|Benjamin M. Zaidel|H. Vincent Poor|Nathan Levy|Oren Somekh|Osvaldo Simeone|Shlomo Shamai","16907"
"6553","Raptor Codes.","Michael Luby|Mohammad Amin Shokrollahi","16908"
"6554","Network Coding Theory - Part II: Multiple Source.","Ning Cai|Raymond W. Yeung|Shuo-Yen Robert Li|Zhen Zhang","16909"
"6555","Asymptotic Estimates in Information Theory with Non-Vanishing Error Probabilities.","Vincent Y. F. Tan","16910"
"6556","Information Combining.","Ingmar Land|Johannes B. Huber","16911"
"6557","Transmission and Reception with Multiple Antennas: Theoretical Foundations.","Ezio Biglieri|Giorgio Taricco","16912"
"6558","Rate Distortion Bounds for Voice and Video.","Jerry D. Gibson|Jing Hu","16913"
"6559","MIMO Transceiver Design via Majorization Theory.","Daniel Pérez Palomar|Yi Jiang","16914"
"6560","QoS-Based Resource Allocation and Transceiver Optimization.","Holger Boche|Martin Schubert","16915"
"6561","Random Matrix Theory and Wireless Communications.","Antonia Maria Tulino|Sergio Verdú","16916"
"6562","Fundamental Performance Limits in Cross-layer Wireless Optimization: Throughput, Delay, and Energy.","Edmund M. Yeh","16917"
"6563","Channel Coding in the Presence of Side Information.","Guy Keshet|Neri Merhav|Yossef Steinberg","16918"
"6564","Interference Alignment: A New Look at Signal Dimensions in a Communication Network.","Syed Ali Jafar","16919"
"6565","Toeplitz and Circulant Matrices: A Review.","Robert M. Gray","16920"
"6566","Information Theory and Statistics: A Tutorial.","Imre Csiszár|Paul C. Shields","16921"
"6567","Geometric Programming for Communication Systems.","Mung Chiang","16922"
"6568","Network Coding Theory - Part I: Single Source.","Ning Cai|Raymond W. Yeung|Shuo-Yen Robert Li|Zhen Zhang","16923"
"6569","Optimal Resource Allocation in Coordinated Multi-Cell Systems.","Eduard A. Jorswieck|Emil Björnson","16924"
"6570","Performance Analysis of Linear Codes under Maximum-Likelihood Decoding: A Tutorial.","Igal Sason|Shlomo Shamai","16925"
"6571","Combinatorial Designs for Authentication and Secrecy Codes.","Michael Huber","16926"
"6572","Achieving I/O improvements in a mass spectral database.","Alex Schilling|David Jabon|David Sigfredo Angulo|Dominic Battré|Eric Puryear|Gregor von Laszewski|Jennifer Van Puymbrouck|Kevin Drew|Lee Ann Hollenbeck","16927"
"6573","How to succeed in graduate school: a guide for students and advisors, part I of II.","Marie desJardins","16928"
"6574","Adaptively ranking alerts generated from automated static analysis.","Sarah Smith Heckman","16929"
"6575","Crowdsourcing, collaboration and creativity.","Aniket Kittur","16930"
"6576","Computer science in service of democracy.","Peter Kinnaird","16931"
"6577","Do no evil in research.","Inbal Talgam-Cohen|Sean Follmer","16932"
"6578","Inbox.","","16933"
"6579","Zero-knowledge Proofs.","Marinka Zitnik","16934"
"6580","Visualizing flow data using assorted glyphs.","Amit P. Sawant|Christopher G. Healey","16935"
"6581","Profile Benjamin Cichy: writing code to run on Mars.","Adrian Scoica","16936"
"6582","Introduction.","William Stevenson","16937"
"6583","Digital blasphemy: an interview with Ryan Bliss.","Cara Cocking","16938"
"6584","Fitness trackers.","Andrew Miller","16939"
"6585","Jumping into the water: using software to monitor water supply systems.","Amitai Armon","16940"
"6586","Massive multiplayer human computation for fun, money, and survival.","Lukas Biewald","16941"
"6587","Overcoming misbehavior in mobile ad hoc networks: an overview.","George Athanasiou|Gregory S. Yovanof|Leandros Tassiulas","16942"
"6588","The brain.","James Stanier","16943"
"6589","Catching bad guys with graph mining.","Polo Chau","16944"
"6590","Creativity + Computer Science.","David Robert|Nick DePalma","16945"
"6591","Dynamics of news from the ","Marinka Zitnik","16946"
"6592","Objective Viewpoint: Make Your GUI Swing.","Matt Tucker","16947"
"6593","Running rivers.","Michael O'Brien","16948"
"6594","Ultra-efficiency via sublinearity.","Samira Daruki","16949"
"6595","PetaBricks.","Cy P. Chan|Jason Ansel","16950"
"6596","Tweet tweet!","","16951"
"6597","Maintaining ACM traditions: Professional development done right.","Michael Zuba","16952"
"6598","Inbox.","","16953"
"6599","Big data and internships at Cloudera.","Andrew Ferguson|Andrew Wang|Brian Martin|Patrick Wendell|Yanpei Chen","16954"
"6600","Finding an optimal tooth color match.","Cara Cocking","16955"
"6601","Introduction.","Justin Solomon","16956"
"6602","Lessons and opportunities in ICT4D: three things I did not know before I started my research.","Samantha Merritt","16957"
"6603","Beyond freebird.","David A. Shamma","16958"
"6604","Keio-NUS CUTE center: Singapore.","Anshul Vikram Pandey","16959"
"6605","The use of compiler optimizations for embedded systems software.","Joe Bungo","16960"
